id,event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,description,veh_type,corridor,priority,police_station,gba_identifier,zone,junction
FKID000000,unplanned,13.0400041,77.5180991,"Tumkur Road, Peenya Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 17:01:48.111+00,closed,yes,s m circle in coming man track,lcv,Tumkur Road,High,Peenya,NULL,NULL,NULL
FKID000001,unplanned,12.9218755,77.6451585,"ORR East 1, HSR Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 04:07:24.173+00,resolved,yes,starting problem,heavy_vehicle,ORR East 1,High,HSR Layout,NULL,NULL,NULL
FKID000002,unplanned,12.955622,77.5857083,"Wilson Garden Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2023-11-11 06:18:03.343+00,closed,yes,traffic slow junction,,Non-corridor,Low,Wilson Garden,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction
FKID000003,unplanned,13.0061469,77.5794348,"Sadashivanagar Jurisdiction, Bengaluru, Karnataka, India",tree_fall,TRUE,2024-03-07 17:56:55.061+00,closed,yes,tree fall along Non-corridor corridor and under Sadashivanagar jurisdiction,,Non-corridor,Low,Sadashivanagar,NULL,NULL,NULL
FKID000004,unplanned,12.95398,77.5852333,"Wilson Garden Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 04:56:32.348+00,closed,yes,vehicle stopped location person,private_bus,Non-corridor,Low,Wilson Garden,NULL,NULL,LalbaghMainGateJunc
FKID000005,unplanned,13.0664854,77.5998755,"Hebbala Jurisdiction, Bengaluru, Karnataka, India",accident,FALSE,2023-11-28 03:07:27.292421+00,closed,yes,accident along Non-corridor corridor and under Hebbala jurisdiction,NULL,Non-corridor,Low,Hebbala,Bengaluru North Corporation,North Zone 1,NULL
FKID000006,unplanned,12.9328703,77.4879814,"Kengeri Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 07:26:26.739+00,closed,yes,bus breakdown,bmtc_bus,Non-corridor,Low,Kengeri,NULL,NULL,NULL
FKID000007,unplanned,12.973175,77.6003961,"Cubbon Park Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-01-30 06:05:59.339+00,closed,yes,work traffic circle,,Non-corridor,Low,Cubbon Park,NULL,NULL,NULL
FKID000008,planned,12.97883573,77.59953728,"CBD 2, Cubbon Park Jurisdiction, Bengaluru, Karnataka, India",public_event,FALSE,2024-02-12 02:05:46+00,closed,yes,cricket match at m chinnaswamy satdium location,NULL,CBD 2,High,Cubbon Park,NULL,NULL,QueensStatueCircle
FKID000009,unplanned,13.0373543,77.6540442,"Hennuru Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 05:25:50.078+00,closed,yes,vehicle breakdown along Non-corridor corridor and under Hennuru jurisdiction,lcv,Non-corridor,Low,Hennuru,NULL,NULL,NULL
